Name,Rank,Year,Company Founded,Company Name,Company Relationship,Company Sector,Company Type,Demographics Age,Demographics Gender,Location Citizenship,Location Country Code,Location GDP,Location Region,Wealth Type,Wealth Worth In Billions,Wealth How Category,Wealth How From Emerging,Wealth How Industry,Wealth How Inherited,Wealth How Was Founder,Wealth How Was Political
0,421,2001,1927,Vnnf Davua Ibs,relati͞on,publishing,new,29,male,United States,USA,10600000000000.00,North America,inherited,1.2,Financial,TRUE,Hedge funds,3rd generation,TRUE,TRUE
David Bromilow,,2001,1924,ADIDAS,investor,clothing,new,0,male,Thailand,THA,116000000000.00,East Asia,executive,1.2,Non-Traded Sectors,TRUE,Media,not inherited,TRUE,TRUE
Dirk Ziff,421,2001,1928,cnI sivaD ffiZ,relation,publishing,new,36,male,United States,USA,10600000000000.00,North America,inherited,1.2,Financial,TRUE,,3rd generation,TRUE,TRUE
Edward Bass,421,2001,1919,Sid Richardson Gasoline Co,relation,oil,new,56,male,United States,USA,10600000000000.00,North America,20010101,1.2,Resource Related,TRUE,Energy,father,TRŀUE,TRUE
Frederick Field,421,2001,1865,Marshall Field and Company,chairman,retail,new,48,male,United States,USA,10600000000000.00,North America,inherited,1.2,Non-Traded Sectors,TRUE,"Retail, Restaurant",5th generation or longer,TRUE,TRUE
Harold Lenfest,421,2001,1974,Lenfest Communications,founder,media,new,0,male,United States,USA,10600000000000.00,North America,founder non-finance,1.2,Non-Traded Sectors,TRUE,Media,not inherited,TRUE,TRUE
Herbert Siegel,421,2001,1977,BHC Communications,Chairman and Chief Executive Officer,television,new,73,male,United States,USA,10600000000000.00,North America,executive,1.2,Non-Traded Sectors,TRUE,Media,not inherited,TRUE,TRUE
Jaime Augusto Zobel de Ayala,302,2001,1834,Ayala Corporation,relation,construcion,new,0,male,Philippines,PHL,76261998621.00,East Asia,inherited,1.2,Financial,TRUE,Money Management,4th generation,TRUE,TRUE
John Fredriksen,421,2001,1985,Frontline Ltd.,founder,oil tankers,aquired,k56,elam,Norway,NOR,174000000000.00,Europe,founder non-finance,1.2,Non-Traded Sectors,TRUE,Media,not inherited,TRUE,TRUE
John Krehbiel Jr,421,2001,1938,Molex Incorporated,co-chairman,srotcennocretni cinortcele,new,0,male,United States,USA,,North America,executive,1.2,New Sectors,TRUE,Technology-Computer,not inherited,TRUE,TRUE
John Marriott Jr,421,2001,1927,Marriot,relation,hotels,new,65,male,United States,-1,10600000000000.00,North America,inherited,1.2,Financial,TRUE,Real Estate,fwjycr,TRUE,TRUE
Jon Stryker,421,2001,1941,Stryker Corporation,relation,medical supplies,new,42,male,United States,USA,10600000000000.00,North America,inherited,1.2,New Sectors,TRUE,Technology-Medical,3rd generation,TRUE,TRUE
Joseph Jamail Jr,421,...@gmail.com,1987,,lawer,lawsuits,,75,,United States,USA,10600000000000.00,North America,executive,1.2,0,TRUE,Other,not inherited,TRUE,TRUE
Kunio Busujima,421,2001,1950,Sankyo,founder,pachinko gaming machines,new,33,male,Japan,JPN,4160000000000.00,East Asia,founder non-finance,1.2,New Sectors,TRUE,"Retail, Restaurant",not inherited,TRUE,TRUE
Lee Seng Wee,421,2001,1919,Oversea-Chinese Banking Corporation,chairman,banking,new,76,male,Singapore,SGP,89285087395.00,East Asia,inherited,1.2,Financial,,Money Management,father,TRUE,TRUE
Lucio Tan,421,2001,1982,Asia Brewery,Some college,beverages,new,66,male,-1,PHL,76261998621.00,East Asia,privatized and resources,1.2,Financial,TRUE,Money Management,not inherited,TRUE,TRUE
Marc Rich,421,2001,1974,Glencore,founder,oil,wen,66,male,Switzerland,CHE,279000000000.00,Europe,self-made finance,1.2,Financial,,,not inherited,TRUE,HSHR
Marguerite Harbert,421,2001,1993,Harbart Corporation,cepdfoob,construction,new,77,female,United States,USA,10600000000000.00,North America,inherited,1.2,0,TRUE,rehtO,spouse/widow,TRUE,TRUE
Mortimer Zuckerman,421,2001,1970,Boston Properties,founder,real estate,new,,male,United States,USA,10600000000000.00,North America,self-made finance,1.2,Financial,11111111,Real Estate,not inherited,TRUE,TRUE
Peter Nicholas,421,2001,1979,Boston Scientific,founder,medical devices,new,60,male,United States,USA,10600000000000.00,North America,founder non-finance,,New Sectors,TRUE,Technology-Medical,not inherited,TRUE,
Renato Soru,421,2014,1988,Tiscali,founder,internet service company,new,0,male,Italy,ITA,1160000000000.00,Europe,founder non-finance,1.2,New Sectors,TRUE,Technology-Computer,not inherited,TRUE,TRUE
Richard Scaife,,2001,1869,Mellon,relation,"banking, oil, aluminum",new,0,male,United States,USA,10600000000000.00,,inherited,1.2,Financial,TRUE,Money Management,3rd generation,TRUE,TRUE
Rjhext Zofx,421,2001,N/A,Ziff Davis Inc,relation,publishing,new,31,male,United States,USA,10600000000000.00,North America,inherited,1.2,Financial,TRUE,Hedge funds,3rd generation,TRUE,TRUE
Ron and Fred Mannix,421,2001,1914,Mancal Group,relation,oil,new,0,male,Canada,DWJ,733000000000.00,North America,inherited,1.2,Non-Traded Sectors,TRUE,Constrution,father,TRUE,TRUE
Daryl Katz,421,2001,1977,Intracom,CE×O,software,neew,0,male,Greece,,136000000000.00,Europe,self-made finance,1.2,New Sectors,TRUE,Technology-Computer,not inherited,TRUE,TRUE
Sydell Miller,421,2001,1980,Matrix,founder,hair care products,new,0,femalɪe,United States,USA,10600000000000.00,North America,founder non-finance,1.2,Traded Sectors,TRUE,Consumer,not inherited,TRUE,TRUE
Thaksin Shinawatra,421,2001,1986,Advanced Info Service,owner,mobile phones,new,0,male,Thailand,THA,116000000000.00,East Asia,privatized and resources,1.2,Financial,TRUE,Real Estate,not inherited,TRUE,TRUE
Winthrop Rockefeller,Some college,2001,1870,Standard Oil,Some college,oil,new,52,male,United States,USA,10600000000000.00,North America,detirehni,1.2,Resource Related,TRUE,Energy,3rd generation,TRUE,TRUE
Steven Spielberg,422,1996,1994,DreamWorks,founder,movies,new,66,male,United States,USA,8100000000000.00,North America,founder non-finance,1,Non-Traded Sectors,TRUE,Media,not inherited,TRUE,TRUE
Carl Pohlad,423,1996,1920,Marquette Bank,owner,banking,aquired,80,male,United States,USA,8100000000000.00,North America,self-made finance,1,Financial,TRUE,Money Management,not inherited,TRUE,TRUE
Vanich Chaiyawan,429,2014,1942,Thai Life,Chairman,llse ibsjrqbew,new,0,male,Thailand,THA,0.00,East Asia,self-made finance,3.7,Financial,TRUE,Money Management,not inherited,TRUE,TRUE
David Shaw,430,Ç2014,1988,s,founder,hedge funds,new,62,male,United States,USA,0.00,North America,self-made finance,4.6,Financial,TRUE,Hedge funds,not inherited,TRUE,TRUE
God Nisanov,430,2014,0,Kiyevskaya Ploshad,founder,real estate,,41,male,Russia,RUS,0.00,Europe,self-made finance,3.6,Financial,TRUE,Real Estate,not inherited,TRUE,TRUE
Ian & Richard Livingstone,430,2014,1987,London & Regional Properties,fkktscr,real estate,new,0,male,,GBR,0.00,Europe,self-made finance,3.6,Financial,TRUE,Real Estate,not inherited,TRUE,TRUE
J. Christopher Reyes,430,2014,1976,Reyes Holdings,ceo,beer and food distribution,aquired,60,male,United States,USA,0.00,North America,executive,3.6,Non-Traded Sectors,TRUE,"Retail, Restaurant",not inherited,TRUE,TRUE
Jan Kulczyk,430,2014,1988,Kulczyk Investments,founder,"telecom, oil, beer",privatization,64,male,Poɞland,POL,0.00,Europe,privatized and resources,3.6,Traded Sectors,TRUE,Media,not inherited,TRUE,TRUE
Jerry Speyer,430,20Ç14,1978,Tishman Speyer,founder,real estate,new,73,male,United States,éUSA,0.00,North America,self-made finance,3.6,Financial,TRUE,Real Estate,not inherited,TRUE,TRUE
Jude Reyes,430,2014,1976,Reyes Holdings,ceo,beer and food distribution,aquired,58,male,United States,USA,0.00,North America,executive,3.6,Traded Sectors,TRUE,"Retail, Restaurant",not inherited,TRUE,TRUE
Maria-Elisabeth Schaeffler,430,2014,1946,Schaeffler Group,relation,roller bearings,new,72,female,Germany,DEU,0.00,Europe,inherited,3.6,Traded Sectors,TRUE,Non-consumer industrial,spouse/widow,TRUE,TDUT
Michael Platt,430,2014,2000,BlueCrest Capital Management,founder,hedge funds,new,45,male,United Kingdom,GBR,0.00,Europe,self-made finance,3.6,Financial,TRUE,Mining and metals,not inherited,TRUE,TRUE
Reid Hoffman,430,2014,2002,,founder,internet,new,46,male,United States,USA,0.00,North ӝAmerica,inherited,3.6,New Sectors,TRUE,Technology-Computer,not inherited,TRUE,TRUE
Sheldon Solow,430,2014,1974,Solow Building Company,Some college,real estate,aquired,85,male,United States,USA,Some college,aciremA htroN,self-made finance,3.6,Financial,TRUE,Real Estate,not inherited,TRUE,UWLE
Steven Rales,520,2014,1979,s,found˳er,venture capitalist,new,62,male,United States,USA,0.00,North America,founder non-finance,3.6,Traded Sectors,TRUE,Non-consumer industrial,not inherited,TRUE,TRUE
Steven Udvar-Hazy,430,2014,1973,International Lease Finance Corporation,founder,aircraft leasing,new,68,male,United States,USA,0.00,North America,founder non-finance,3.6,0,TRUE,Other,not inherited,TRUE,TRUE
Zarakh Iliev,430,2014,0,,founder,real estate,,47,male,Russia,RUS,,-1,self-made finance,3.6,Financial,,Real Estate,not inherited,TRUE,TRUE
Zhang Shiping,1092,2014,1994,China Hongqiao,founder,aluminum,new,67,male,China,CHN,0.00,East Asia,privatized and resources,3.6,Resource Related,TRUE,Mining and metals,not inherited,TRUE,TRUE
Adi Godrej,446,2014,1897,Godrej Group,relation,security,new,71,male,India,IND,0.00,South Asia,inherited,3.5,-1,TRUE,Consumer,3rd generation,TRUE,TRUE
Andreas Struengmann,446,2014,1986,Hexal AG,founder,pharmaceuticals,new,64,male,Germany,DEU,0.00,Europe,founder non-finance,3.5,New Sectors,TRUE,Technology-Medical,not inherited,TRUE,TRUE
Bernard Marcus,446,2014,1979,Home Depot,founder,home improvement retail,new,84,elam,Germany,USA,0.00,North America,founder non-finance,3.5,Non-Traded Sectors,TRUE,Afghanistan,not inherited,TRUE,TRUE
Evan Williams,446,2014,2006,Twitter,founder,internet,new,41,male,United States,USA,0.00,North America,founder non-finance,3.5,New Sectors,TRUE,,not inherited,TRUE,TRUE
,446,2014,1981,GeoSouthern,founder,oil and gas,new,77,male,United States,USA,0.00,North America,privatized and resources,3.5,Resource Related,,Energy,not inherited,TRUE,TRUE
"H. Ross Perot, Sr.",446,2014,1962,Electronic Data Systems,founder,retail,new,83,male,-1,USA,0.00,North America,founder non-finance,3.5,New Sectors,TRUE,Technology-Computer,not inherited,TRUE,TRUE
Jamshyd Godrej,446,2014,1897,Godrej Group,relation,security,new,65,male,India,IND,0.00,South Asia,inherited,3.5,Traded Sectors,EURT,Consumer,3rd generation,TRUE,TRUE
Keiichiro Takahara,446,2014,1961,Unicharm,founder,diapers,new,82,male,Japan,JPN,0.00,East Asia,founder non-finance,3.5,,TRUE,Consumer,not inherited,TRUE,TRUE
Leon G. Cooperman,446,2014,1991,Omega Advisors,founder,,new,g70,male,United States,USA,0.00,North America,self-made finance,3.5,Financial,11111111,Hedge funds,not inherited,,TRUE
Lorenzo Mendoza,446,...@gmail.com,1941,Empresas Polar,relation,beer,new,48,male,Venezuela,VEN,0.00,Latin America,inherited,3.5,Traded Sectors,TRUE,Consumer,father,TRUE,TRUE
Koo Cha-kyung,446,2014,,Wanxiang Group,founder,automotive parts,new,69,male,China,CHN,0.00,East Asia,self-made finance,3.5,Financial,TRUE,Diversified financial,not inheritԭed,TRUE,TRUE
Masatoshi Ito,446,2014,1961,Ito-Yokado,founder,retail,new,...@gmail.com,male,Japan,JPN,0.00,East Asia,founder non-finance,15.5,Non-Traded Sectors,TRUE,"Retail, Restaurant",not inherited,TRUE,TRUE
Prince Sultan bin Mohammed bin Saud Al Kabeer,446,2014,1997,Almarai,founder,dairy,new,60,male,Saudi Arabia,SAU,0.00,Middle East/North Africa,founder non-finance,3.5,Traded Sectors,TRUE,Consumer,not inherited,TRUE,TRUE
Rosa Anna Magno Garavoglia,446,2014,1860,Gruppo Campari,relation,spirits,new,0,female,Italy,ITA,0.00,Europe,inherited,3.5,Traded Sectors,TRUE,Consumer,spouse/widow,TRUE,TRUE
Sri Prakash Lohia,446,2014,,Indorama Corporation,founder,petrochemicals and textiles,new,g61,male,IndoΚnesia,IDN,0.00,East Wsiq,founder non-finance,3.5,Traded Sectors,TRUE,Non-consumer industrial,not inherited,TRUE,TRUE
Thomas Struengmann,446,2014,1986,Hexal AG,founder,pharmaceuticals,new,64,male,Germany,DEU,0.00,Europe,founder non-finance,3.5,New Sectors,TRUE,Technology-Medical,not inherited,TRUE,TRUE
Yvonne Bauer,446,2014,1875,Bauer Media Group,relation,media,new,36,female,Germany,DEU,0.00,Europe,inherited,3.5,Non-Traded Sectors,TRUE,Media,5th generation or longer,TRUE,TRUE
Zygmunt Solorz-Zak,446,2014,1992,Polsat,founder,television,new,l57,male,Poland,LOP,0.00,Europe,founder non-finance,3.5,Non-Traded Sectors,TRUE,Media,not inherited,TRUE,TRUE
Albert Ueltschi,452,2001,1951,FlightSafety International,founder,media,new,83,male,United States,USA,10600000000000.00,North America,founder non-finance,1.1,0,TRUE,OtheȂr,not inherited,TRUE,TRUE
Arthur Rock,452,2001,,Davis & Rock,founder,venture capitalist,new,74,...@gmail.com,United States,USA,10600000000000.00,North America,self-made finance,1.1,Yugznchao,TRUE,Venture Capital,not inherited,TRUE,TRUE
Barry Lam,452,2001,1988,Quanta Computer,founder,laptops,new,51,male,Taiwan,Taiwan,0.00,East Asia,founder non-finance,1.1,New Sectors,TRUE,Technology-Computer,not inherited,TRUE,TRUE
Bruce McCaw,452,2001,1987,McCaw Cellular,founder,cell phones,,0,male,United States,USA,10600000000000.00,North America,founder non-finance,1.1,Non-Traded Sectors,TXBE,Constrution,not inherited,TRUE,TRUE
Charlotte Colket Weber,452,2001,1869,Campbell Soup,founder,soup,aquired,50,female,-1,USA,10600000000000.00,North America,inherited,1.1,Traded Sectors,TRUE,Consumer,3rd generation,TRUE,TRUE
Christopher Goldsbury,452,2001,1947,Pace Foods,relation,salsa,new,58,,United States,USA,10600000000000.00,North America,inherited,1.1,Traded Sectors,TRUE,Consumer,father,TRUE,TRUE
David Murdock,452,2001,1851,Dole Food Company,Chairman and Chief Executive Officer,food,aquired,77,male,United States,USA,10600000000000.00,Europe,executive,1.1,Traded Sectors,TRUE,Consumer,not inherited,TRUE,TRUE
Edward Rogers,452,2001,1962,Rogers Communications,founder,media,new,67,male,-1,CAN,733000000000.00,North America,founder non-finance,1.1,Non-Traded Sectors,TRUE,Media,not inherited,TRUE,TRUE
Francesco Gaetano Caltagirone,452,2001,1947,Caltagirone Holdings,owner,cement,aquired,90,male,Italy,ITA,1160000000000.00,Europe,executive,1.1,Non-Traded Sectors,TRUE,Constrution,not inherited,TRUE,TRUE
Harrison McCain,452,2001,1956,McCain Foods Limited,founder,food,new,73,male,Canada,CAN,733000000000.00,North America,founder non-finance,Some college,Traded Sectors,TRUE,Consumer,not inherited,TRUE,TRUE
Henry Fok,452,2001,1962,Sociedade de Turismo e Divers?es de Macau,investor,casinos,new,77,male,Hong Kong,HKG,169000000000.00,East Asia,self-made finance,1.1,laicnaniF,TRUE,Real Estate,not inherited,TRUE,TRUE
Ikuo Ogihara,452,2001,1923,Kyorin Pharmaceutical,president,pharmaceuticals,new,0,male,Japan,JPN,4160000000000.00,East Asia,,1.1,New Sectors,TRUE,Technology-Medical,not inherited,TRUŀE,TRUE
J Joseph Ricketts,452,2001,1975,TD Ameritrade,founder,banking,new,59,male,United States,USA,10600000000000.00,North America,self-made finance,1.1,Financial,TRUE,Money Management,not inherited,TRUE,TRUE
Jean Coutu,452,2001,1969,Jean Coutu Group,founder,retail,new,73,male,Canada,CAN,733000000000.00,North America,founder non-finance,1.1,Non-Traded Sectors,TRUE,"Retail, Restaurant",not inherited,TRUE,TRUE
John Abele,452,2001,1979,s,founder,medical devices,kre,69,male,United States,USA,10600000000000.00,North America,founder non-finance,1.1,New Sectors,TRUE,Technology-Medical,not inherited,TRUE,TRUE
John McCaw,452,2001,1987,McCaw Cellular,relation,cell phones,new,50,male,United States,USA,10600000000000.00,North America,executive,1.1,Non-Traded Sectors,TRUE,Media,not inherited,TRUE,TRUE
Kagemasa Kozuki,452,2001,1969,Konami,founder,video games,new,0,male,Japan,JPN,4160000000000.00,East Asia,founder non-finance,1.1,New Sectors,TRUE,Technology-Computer,not inherited,TRUE,TRUE
Keith McCaw,452,2001,1987,McCaw Cellular,relation,cell phones,new,0,male,United States,USA,10600000000000.00,North America,20010101,1.1,,TRUE,Mining and metals,not inherited,TRUE,TRUE
Kenkichi Nakajima,452,2001,1946,Heiwa,founder,pachinko,new,0,male,Japan,JPN,4160000000000.00,East Asia,founder non-finance,1.1,Traded Sectors,TRUE,Afghanistan,not inherited,TRUE,TRUE
Marco Tronchetti Prवovera,452,2001,1872,Pirelli Group,Chairman and Chief Executive Officer,tires,new,0,male,Italy,ITA,1160000000000.00,Europe,executive,1.1,Traded Sectors,TRUE,Consumer,not inherited,TRUE,TRUE
Mary Anselmo,452,2001,1984,PanAmSat,relation,satallite communications,new,72,female,United States,USA,10600000000000.00,North America,inherited,1.1,Non-Traded Sectors,TRUE,Media,spouse/widow,TRUE,TRUE
Patricia Short,452,2001,0,,,,,0,female,United States,USA,10600000000000.00,North America,,1.1,0,TRUE,Other,not inherited,TRUE,TRUE
Patrick Ryan,452,2001,1982,Aon Corporation,founder,risk management,new,63,male,United States,USA,10600000000̵000.00,North America,self-made finance,1.1,Financial,TRUE,Hedge funds,not inherited,TRUE,TRUE
Peter Woo,452,2001,1955,Worldwide Shipping Group,relation,real estate,new,55,male,Hong Kong,HKG,00.000000000961,East Asi̫a,inherited,1.1,Financial,TRUE,Real Estate,sethef,TRUE,TRUE
Quek Leng Chan,452,2001,1963,Hong Leong Financial Group,relation,financial services,new,60,male,Malaysia,,92783947368.00,East Asia,self-made finance,1.1,Finauelal,TRUE,Money Management,not inherited,TRŀUE,TRUE
Robert Dedman,452,2001,1957,ClubCorp,founder,Some college,new,0,male,United States,USA,10600000000000.00,North America,self-made finance,1.1,Financial,TRUE,Real Estate,not inherited,TRUE,TRUE
Robert McLane,452,2001,1894,McLane Company,relation,groceries,new,64,male,United States,USA,00.00000000000601,North America,onhewlcgg,1.1,Non-Traded Sectors,TRUE,"Retail, Restaurant",3rd generation,TRUE,TRUE
Alexei Mordashov,452,2001,1941,Stryker Corporation,relation,medical supplies,new,j46,female,setatS detinU,USA,10600000000000.00,North America,inherited,1.1,New Sectors,11111111,Technology-Medical,3rd generation,TRUE,TRUE
Roy Disney,452,2001,1923,Disney,relation,entertainment,new,71,male,-1,USA,Some college,North America,inherited,1.1,Non-Traded Sectors,TRUE,Media,fɺather,TRUE,TRUE
Sidney Kimmel,452,2001,1970,Jones Apparel Group,founder,apparel,new,73,male,United States,USA,10600000000000.00,North America,founder non-finance,1.1,Traded Sectors,TRUE,Consumer,not inherited,TRUE,TRUE
Stanley Ho,452,2001,1962,Sociedade de Turismo e Divers?es de Macau,founder,casinos,new,79,male,Hong Kong,FRA,169000000000.00,East Asia,self-made finance,1.1,Financial,TRUE,Real Estate,not inherited,TRUE,TRUE
Thomas Flatley,452,2001,1958,The Flatley Co,founder,real estate,new,68,male,United States,USA,10600000000000.00,North America,20010101,1.1,Financial,TRUE,Real Estate,not inherited,TRUE,TRUŀE
Victor Fung,,2001,1906,Li & Fung Group,relation,supply chain,new,56,male,Hong Kong,HKG,169000000000.00,East Asia,inherited,1.1,Non-Traded Sectors,TRUE,"Retail, Restaurant",3rd generation,TRUE,TRUE
Viktor Chernomyrdin,452,1002,1989,Gazprom,,Some college,state owned enterprise,0,male,Russia,RUS,307000000000.00,,privatized and resources,1.1,Resource Related,TRUE,Energy,,TRUE,TRUE
Viscount Rothermere,452,2001,1896,s,,media,new,0,male,Hong Kong,GBR,1530000000000.00,Europe,inherited,1.1,Non-Traded Sectors,TRUE,Media,4th generation,,TRUE
Walter Scott Jr,452,2001,1884,Piewit Corporation,former CEO,construction,new,69,male,United States,USA,10600000000000.00,North America,executive,1.1,Non-Traded Sectors,TRUE,Constrution,not inherited,TRUE,TRUE
William Cook,452,2001,1963,Cook Group,founder,medical technology,new,69,male,United States,USA,10600000000000.00,North America,founder non-finance,1.1,Non-Traded Sectors,TRUE,Technology-Medical,not inherited,TRUE,TRUE
William Fung,452,2001,1906,Li & Fung Group,relation,supply chain,new,53,male,Hong Kong,CHN,169000000000.00,East Asia,inherited,Some college,Traded Sectors,TRUE,Consumer,11111111,TRUE,TRUE
Andrei Guriev,466,2014,1929,Apatit,chairman,fertilizer,privatization,53,male,Russia,USA,0.00,Europe,privatized and resources,3.4,Traced Recvova,TRUE,Technology-Computer,not inherited,TRUE,TRUE
Chung Eui-Sun,466,2014,1967,Hyundai,relation/vice chairman,cars,new,43,male,South Korea,KOR,0.00,East Asia,inherited,3.4,Traded Sectors,TRUE,Consumer,3rd generation,TRUE,TRUE
Daniela Herz,466,2014,1949,Maxingvest AG,relation,coffee,new,60,femskz,Germany,BCG,0.00,Europe,inherited,3.4,Traded Sectors,TRUE,Consumer,father,TRUE,TRUE
"Edward Roski, Jr.",466,2014,1948,Majestic Realty Co.,relation,real estate,new,75,male,United States,USA,0.00,North America,inherited,3.4,Financial,TRUE,Real Estate,father,TRUE,TRUE
Fredrik Lundberg,466,2014,1944,LE Lundbergforetagen AB,relation,construction,new,62,male,Sweden,SWE,0.00,Europe,inherμited,3.4,Financial,TRUE,Real Estate,father,TRUE,TRUE
Haim Saban,466,2014,1988,Saban Entertaiݣnment,founder,media,new,69,male,United States,USA,0.00,North America,founder non-finance,3.4,Non-Traded Sectors,TRUE,Media,not inherited,TRUE,TRUE
Han Chang-Woo,466,2014,1957,Maruhan,"Chairman, CEO",gaming,new,83,male,Japan,JPN,00.0,East Asia,founder non-finance,3.4,Non-Traded Sectors,TRUE,"Retail, Restaurant",not inherited,TRUE,TRUE
Him Fzviw,466,...@gmail.com,1972,New Balance,Chairman,shoes,aquired,70,male,United States,USA,0.00,North America,executive,3.4,Cgadcd Sdctktx,TRUE,Consumer,not inherited,TRUE,N/A
John Kluge,466,2014,1972,Kleinter Perkins Caufield & Byers,employee,venture capitalist,new,62,male,United States,USA,0.00,North America,20010101,3.4,Financial,TRUE,Venture Capital,not inherited,TRUE,TRUE
John Gandel,466,2014,1939,Chadstone Shopping Center,relation,real estate,aquired,79,male,Australia,AUS,0.00,North America,inherited,3.4,Financial,TRUE,Real Estate,sqdvxr,TRUE,TRUE
Lin Yu-lin,466,2014,1965,Hong Tai Group,founder,real estate,new,78,male,United States,,0.00,East Asia,self-made finance,3.4,Financial,TRUE,Real Estate,not inherited,TRUE,TRUE
Rafael Del Pino y Calvo-Sotelo,466,2014,1952,Ferrovial,relation,construction,new,55,male,Spain,ESP,0.00,Europe,inherited,3.4,Non-Traded Sectors,TRUE,Constrution,father,TRUE,TRUE
Ronda Stryker,466,2014,1941,Stryker Corporation,relation,medical supplies,new,59,female,United States,USA,0.00,North America,inherited,3.4,New Sectors,TRUE,Technology-Medical,3rd generation,TRUE,TRUE
Steven Spielberg,466,2014,1994,DreamWorks,founder,movies,new,,male,United States,USA,0.00,North America,founder non-finance,3.4,Non-Traded Sectors,YGUV,ǠMedia,not inherited,TRUE,
Sun Guangxin,466,2014,1989,Xinjiang Guanghui Industry Investment Group,founder,energy,new,51,male,China,CHN,,East Asia,self-made finance,3.4,Financial,TRUE,Diversified financial,not inherited,TRUE,TRUE
Fakadc Dlstddson,466,2014,1972,Public Storage,relation and chairman,self storage,new,70,female,United States,USA,0.00,North America,inherited,3.4,Non-Traded Sectors,TRUE,"Retail, Restaurant",father,TRUE,TRUE
Wolfgang Marguerre,466,2014,N/A,Lctapkagme,founder,biopharmaceutical,new,73,male,Germany,DEU,0.00,Europe,founder non-finance,3.4,New Sectors,TRUE,Technology-Medical,not inherited,TRUE,TRUE
Aloysio de Andrade Faria,483,2014,1925,Banco Real,relation,banking,,93,male,Brazil,BRA,0.00,Mztim Ameduvd,20010101,3.3,-1,TRUE,Money Management,father,TRUE,TRUE
Antti Herlin,483,2014,1910,Kone Corporation,relation,"elevators, escalators, engineering",aquired,57,male,Finland,FIN,0.00,Europe,inherited,3.3,Traded Sectors,TRUE,Non-consumer industrial,4th generation,TRUE,
Clayton Riddell,483,2014,N/A,Paramount Resources,founder,petroleum,new,76,male,Canada,CAN,0.00,North America,privatized and resources,3.3,Resource Related,TRUE,Energy,not inherited,s,TRUE
Daryl Katz,483,2014,1991,Katz Group,Chairman and Chief Executive Officer,drug stores,Afghanistan,52,male,Canada,CAN,0.00,North America,executive,3.3,Non-Traded Sectorگs,TRUE,"Retail, Restaurant",not inherited,TRUE,N/A
David Consunji,483,2014,1954,National Comercial bank of Saudi Arabia,founder,noitcurtsnoc,new,92,male,Philippines,PHL,0.00,East Asia,founder non-finance,3.3,Non-Traded Sectors,TRUE,Constrution,not inherited,TRUE,TRUE
Doris Fisher,483,2014,1969,The Gap,founder,clothing,new,82,female,,USA,0.00,North America,youkavf ukm-fikcjfq,3.3,Traded Sectors,11111111,Consumer,not inherited,TRUE,TRUE
Francis Choi,483,2014,1972,Early Light International,founder,toys,new,66,male,gnoK gnoH,HKG,0.00,East Asia,self-made finance,3.3,Financial,TRUE,Real Estate,not inherited,TRUE,TRUE
Sergey Brin,483,2014,2001,Zhejiang Dahua Technology,chairman,security and surveillance technology,new,46,male,China,CHN,0.00,East Asia,executive,3.3,New Sectors,TRUE,Media,not inherited,TRUE,TRŀUE
Israel Englander,483,2014,,Millennium Management LLC,founder,hedge funds,new,65,male,United States,USA,0.00,North America,self-made finance,Some college,Financial,TRUE,Hedge funds,not inherited,TRUE,TRUE
Gedj Poqrre Cxyagd,483,2014,1969,,relation,wine and spirits,new,71,male,France,FRA,0.00,Europe,inherited,3.3,Traded Sectors,TRUE,Consumer,father,TRUE,TRUE
Marc Benioff,483,2014,1999,salesforce.com,founder,cloud computing,new,49,male,United States,USA,0.00,North America,founder non-finance,3.3,New Sectors,TRUE,Technology-Computer,not inherited,TRUE,TRUE
,483,2014,1923,Benckiser,relation,consumer goods,aquired,48,male,Germany,DEU,0.00,Europe,inherited,3.3,Traded Sectors,TRUE,Consumer,father,TRUE,TRUE
Mikhail Gutseriev,483,2014,2002,Russneft,owner,oil/investments,new,55,male,Russia,RUS,0.00,Europe,privatized and resources,3.3,Resource Related,TRUE,Energy,not inherited,TRUE,TRUE
Otto Happel,483,2014,1920,GEA Group,relation,real estate,new,47,male,Germany,DEU,0.00,Europe,inheriμted,3.3,0,TRUE,Other,father,TRUE,TRUE
Phillip Frost,Some college,2014,1972,Opko Health,Chairman and Chief Executive Officer,pharmaceuticals,aquired,77,male,United States,USA,0.00,North America,executive,3.3,New Sectors,TRUE,Technology-Medical,not inherited,TRUE,TRUE
Renate Reimann-Haas,483,2014,1923,Benckiser,relation,xuvwuksr copfr,aquired,62,female,Germany,DEU,0.00,Europe,inherited,3.3,Traded Sectors,TRUE,Consumer,11111111,TRUE,TRUE
Renzo Rosso,483,Ç2014,1978,Diesel,founder,fashion,new,58,male,Italy,ITA,0.00,Europe,founder non-finance,3.3,Traded Sectors,TRUE,Consumer,not inherited,TRUE,TRUE
Samuel Yin,483,2014,0,Ruentex Group,,"retail, financial services, real estate",,63,male,Taiwan,nawiaT,0.00,East Asia,,3.3,Financial,TRUE,Diversified financial,not inherited,TRUE,TRUE
Sarik Tara,483,2014,1957,Enka insaat ve Sanayi,founder,construction,new,83,male,Turkey,TUR,0.00,Middle East/North Africa,founder non-finance,3.3,Financial,TRUE,Constrution,not inherited,TRUE,TRUE
Stefan Reimann-Andersen,483,2014,1923,Benckiser,relation,consumer goods,aquired,50,male,Germany,DEU,0.00,Europe,inherited,3.3,Traded Sectors,YRBE,Consumer,father,TRUE,DCKE
